uni,score,year
Edge Hill University,77.8,2021
University of Edinburgh,77.57,2021
Edinburgh Napier University,85.71,2021
The Education Training Collective,88.0,2021
The Edward James Foundation Limited,93.33,2021
EKC Group,81.25,2021
Elim Foursquare Gospel Alliance,85.71,2021
Empire College London Limited,100.0,2021
The University of Essex,82.21,2021
University College of Estate Management,83.44,2021
University of Exeter,85.74,2021
Exeter College,92.65,2021
Fairfield School of Business Ltd,79.71,2021
Falmouth University,81.09,2021
Farnborough College of Technology,83.33,2021
Fashion Retail Academy,79.17,2021
The Film Education Training Trust Limited,76.92,2021
ForMission Ltd,95.65,2021
Futureworks Training Limited,69.15,2021
Gateshead College,73.53,2021
University of Glasgow,87.08,2021
Glasgow Caledonian University,85.23,2021
Glasgow School of Art,57.66,2021
University of Gloucestershire,80.67,2021
Goldsmiths' College,66.94,2021
Gower College Swansea,80.0,2021
Grantham College,100.0,2021
Greater Brighton Metropolitan College,75.21,2021
University of Greenwich,78.86,2021
The Growth Company Limited,81.82,2021
Grwp Llandrillo Menai,85.26,2021
Guildhall School of Music & Drama,89.78,2021
Coleg Gwent,88.02,2021
Hadlow College,71.43,2021
Halesowen College,75.61,2021
Hammond School Limited (The),73.91,2021
Harper Adams University,90.41,2021
Hartpury University,90.21,2021
Havant and South Downs College,80.49,2021
Heart of Worcestershire College,73.02,2021
Heart of Yorkshire Education Group,81.33,2021
Hereford College of Arts,86.76,2021
"Herefordshire, Ludlow, and North Shropshire College",83.33,2021
Heriot-Watt University,84.35,2021
Hertford Regional College,88.68,2021
University of Hertfordshire,82.0,2021
University of the Highlands and Islands,82.22,2021
Hopwood Hall College,84.62,2021
The University of Huddersfield,78.13,2021
Hugh Baird College,83.52,2021
The University of Hull,84.18,2021
Hull College,65.94,2021
Hy Education Limited,95.0,2021
ICMP Management Limited,68.02,2021
ICON College of Technology and Management Ltd,89.33,2021
"Imperial College of Science, Technology and Medicine",81.37,2021
"Institute for Children, Youth and Mission",92.31,2021
The College of Integrated Chinese Medicine,85.19,2021
Inter-ED UK Limited,86.05,2021
International College of Oriental Medicine (U.K.) Limited(The),100.0,2021
Isle of Wight College,84.21,2021
Istituto Marangoni Limited,75.59,2021
Italia Conti Academy of Theatre Arts Limited(The),89.47,2021
Kaplan Open Learning (Essex) Limited,89.38,2021
University of Keele,85.07,2021
Kensington Education Foundation Limited,84.35,2021
The University of Kent,82.6,2021
The Kingham Hill Trust,100.0,2021
King's College London,77.5,2021
Kingston Maurward College,85.0,2021
Kingston University,80.78,2021
Lamda Limited,95.65,2021
The University of Lancaster,86.71,2021
The University of Law Limited,90.73,2021
LCCM AU UK Limited,86.49,2021
The University of Leeds,82.37,2021
Leeds Arts University,82.83,2021
Leeds Beckett University,84.8,2021
Leeds Conservatoire,84.27,2021
Leeds Trinity University,81.44,2021
The University of Leicester,82.6,2021
Leicester College,81.33,2021
University of Lincoln,87.19,2021
Lincoln College,80.65,2021
The University of Liverpool,84.14,2021
Liverpool Hope University,84.11,2021
The Liverpool Institute for Performing Arts,82.87,2021
Liverpool John Moores University,83.8,2021
Liverpool Media Academy Limited,62.5,2021
University College London,80.61,2021
London Churchill College Ltd,94.35,2021
University of London Institute in Paris,88.24,2021
The London Institute of Banking & Finance,78.26,2021
London Metropolitan University,79.97,2021
The London School of Economics and Political Science,83.72,2021
London School of Management Education Limited,87.5,2021
London School of Science & Technology Limited,90.0,2021
London School of Theology,84.78,2021
London South Bank University,79.54,2021
London South East Colleges,73.68,2021
London Studio Centre Limited,87.38,2021
Loughborough College,83.21,2021
Loughborough University,88.65,2021
LTE Group,82.68,2021
Luminate Education Group,88.1,2021
The University of Manchester,81.12,2021
Manchester Metropolitan University,83.22,2021
The Markfield Institute of Higher Education,80.77,2021
Matrix College of Counselling and Psychotherapy Ltd,94.12,2021
Met Film School Limited,75.36,2021
The Metanoia Institute,70.97,2021
Middlesbrough College,93.67,2021
Middlesex University,77.04,2021
Mont Rose College of Management and Sciences Limited,92.52,2021
Moorlands College,100.0,2021
Morley College Limited,78.05,2021
Moulton College,46.15,2021
Mountview Academy of Theatre Arts Limited,89.41,2021
Myerscough College,77.5,2021
N D A Foundation,80.0,2021
The National Childbirth Trust,76.19,2021
Nazarene Theological College,95.0,2021
NCG,75.92,2021
NCH at Northeastern Limited,95.56,2021
Grwp Colegau NPTC Group of Colleges,85.71,2021
Nelson and Colne College,66.15,2021
Nelson College London Limited,95.87,2021
New City College,61.22,2021
New College Durham,87.01,2021
New College Swindon,81.9,2021
Newcastle and Stafford Colleges Group,82.89,2021
University of Newcastle upon Tyne,82.12,2021
Newham Training and Education Centre,100.0,2021
Newman University,86.72,2021
Nexus Institute of Creative Arts,80.0,2021
Norland College Limited,94.57,2021
North East Surrey College of Technology (NESCOT),85.71,2021
North Hertfordshire College,30.77,2021
North Warwickshire and South Leicestershire College,90.0,2021
North West Regional College,88.27,2021
"University of Northampton, The",79.41,2021
Northern College of Acupuncture,86.36,2021
Northern Regional College,84.21,2021
The Northern School of Art,85.42,2021
University of Northumbria at Newcastle,81.03,2021
Norwich University of the Arts,80.71,2021
Nottingham College,80.0,2021
Nottingham Trent University,87.13,2021
"University of Nottingham, The",81.91,2021
Nova Centric Limited,90.67,2021
Oaklands College,81.25,2021
The Oldham College,88.98,2021
School of Oriental and African Studies,77.45,2021
The College of Osteopaths,78.57,2021
University College of Osteopathy (The),64.06,2021
Oxford Brookes University,81.28,2021
Pearson College Limited,61.8,2021
Peter Symonds College,95.35,2021
Petroc,81.68,2021
Platform One (IOW) Limited,95.0,2021
Plumpton College,58.7,2021
University of Plymouth,84.92,2021
Plymouth College of Art,76.25,2021
Point Blank Limited,84.31,2021
University of Portsmouth,86.23,2021
QAHE (UR) Limited,71.4,2021
"Queen Margaret University, Edinburgh",82.59,2021
Queen Mary University of London,80.36,2021
Queen's University of Belfast,80.98,2021
Ravensbourne University London,67.46,2021
The University of Reading,83.64,2021
Reaseheath College,71.43,2021
Regent's University London Limited,81.3,2021
"Richmond, the American International University in London, Inc.",82.72,2021
Riverside College,89.02,2021
Robert Gordon University,89.96,2021
Roehampton University,82.26,2021
Rose Bruford College of Theatre and Performance,60.71,2021
Royal Academy of Dance,73.53,2021
Royal Academy of Dramatic Art,93.62,2021
The Royal Academy of Music,88.71,2021
The Royal Agricultural University,83.27,2021
Royal College of Music,84.0,2021
Royal Conservatoire of Scotland,85.71,2021
Royal Holloway and Bedford New College,87.15,2021
Royal Northern College of Music,81.25,2021
Royal School of Needlework(The),83.33,2021
The Royal Veterinary College,88.01,2021
Royal Welsh College of Music and Drama,73.74,2021
RTC Education Ltd,76.79,2021
SAE Education Limited,81.31,2021
"University of Salford, The",79.12,2021
Salford City College,54.05,2021
The Salvation Army,89.47,2021
Sandwell College,83.33,2021
The University of Sheffield,85.28,2021
"Sheffield College, The",67.33,2021
Sheffield Hallam University,82.46,2021
The Sherwood Psychotherapy Training Institute Limited,84.0,2021
Shockout Arts Ltd,73.33,2021
Shrewsbury Colleges Group,74.07,2021
The SMB Group,82.22,2021
"Solent University, Southampton",82.75,2021
Solihull College and University Centre,74.47,2021
Somerset County Council,100.0,2021
South & City College Birmingham,71.43,2021
South Devon College,82.58,2021
South Eastern Regional College,95.33,2021
South Essex College of Further and Higher Education,82.24,2021
South Gloucestershire and Stroud College,93.42,2021
South Staffordshire College,80.95,2021
South Thames Colleges Group,76.56,2021
University of South Wales,81.28,2021
South West College,87.58,2021
University of Southampton,84.91,2021
Southampton City College,89.66,2021
Southern Regional College,81.46,2021
Southport College,70.37,2021
Sparsholt College,70.0,2021
Spirit SSR Limited,70.59,2021
SRUC,71.84,2021
University of St Andrews,92.73,2021
St Helens College,72.46,2021
University of St Mark & St John,79.94,2021
"St Mary's University, Twickenham",85.9,2021
St Mellitus College Trust,93.41,2021
St. George's Hospital Medical School,77.81,2021
St. Piran's School (GB) Limited,54.17,2021
Staffordshire University,84.76,2021
University of Stirling,86.85,2021
Stoke on Trent College,91.67,2021
Stranmillis University College,90.72,2021
University of Strathclyde,86.36,2021
Strode College,77.14,2021
University of Suffolk,75.97,2021
University of Sunderland,82.34,2021
The University of Surrey,79.23,2021
University of Sussex,81.0,2021
Swansea University,88.87,2021
TEC Partnership,84.86,2021
Teesside University,81.65,2021
Telford College,93.75,2021
The Trafford College Group,89.66,2021
Trinity College (Bristol) Limited,100.0,2021
Trinity Laban Conservatoire of Music and Dance,81.02,2021
Truro and Penwith College,83.49,2021
Tyne Coast College,80.49,2021
UCFB College of Football Business Limited,67.75,2021
UCK Limited,96.23,2021
UK College of Business and Computing Ltd,82.66,2021
University of Ulster,83.36,2021
Unified Seevic Palmer's College,74.07,2021
United Colleges Group,86.36,2021
Urdang Schools Limited,79.63,2021
University of Wales Trinity Saint David,83.22,2021
The University of Warwick,85.13,2021
Warwickshire College,56.15,2021
West Herts College,91.38,2021
West Kent and Ashford College,100.0,2021
The University of West London,86.34,2021
"University of the West of England, Bristol",88.15,2021
University of the West of Scotland,84.94,2021
West Suffolk College,82.5,2021
Westcountry Schools Trust,88.61,2021
The University of Westminster,79.83,2021
Weston College of Further and Higher Education,83.44,2021
Weymouth College,88.89,2021
Whitefield Schools,100.0,2021
Wigan and Leigh College,76.53,2021
Wiltshire College and University Centre,67.35,2021
University of Winchester,81.02,2021
The Windsor Forest Colleges Group,63.16,2021
Wirral Metropolitan College,67.65,2021
The WKCIC Group,73.81,2021
University of Wolverhampton,80.67,2021
University of Worcester,85.47,2021
Wrexham Glyndwr University,80.59,2021
Writtle University College,91.77,2021
Coleg y Cymoedd,85.37,2021
Yeovil College,67.86,2021
University of York,85.39,2021
York College,84.62,2021
York St John University,85.35,2021
Hull and York Medical School,87.5,2021
Brighton and Sussex Medical School,96.43,2021
University of Aberdeen,91.49,2020
Abertay University,93.05,2020
Aberystwyth University,96.13,2020
Abingdon and Witney College,93.88,2020
ACM Guildford Limited,84.21,2020
Activate Learning,80.41,2020
AECC University College,88.89,2020
All Nations Christian College Limited,100.0,2020
ALRA,100.0,2020
Anglia Ruskin University Higher Education Corporation,88.14,2020
Architectural Association (Incorporated),84.51,2020
Arden University Limited,78.95,2020
Arts Educational Schools(The),96.72,2020
"Arts University Bournemouth, the",89.45,2020
"University of the Arts, London",82.1,2020
Ashton Sixth Form College,94.74,2020
Askham Bryan College,87.76,2020
Assemblies of God Incorporated,94.12,2020
Association of British Dispensing Opticians(The),93.75,2020
Aston University,89.04,2020
Aylesbury College,100.0,2020
Bangor University,91.13,2020
Barking and Dagenham College,94.44,2020
Barnet & Southgate College,92.31,2020
Barnsley College,90.13,2020
The University of Bath,91.42,2020
Bath College,82.35,2020
Bath Spa University,85.84,2020
BCNO Limited,85.71,2020
Bedford College,95.83,2020
University of Bedfordshire,87.27,2020
"Berkshire College of Agriculture, the (BCA)",100.0,2020
BIMM Limited,88.59,2020
Birkbeck College,86.62,2020
The University of Birmingham,90.56,2020
University College Birmingham,88.44,2020
Birmingham City University,88.64,2020
Birmingham Community Healthcare NHS Foundation Trust,100.0,2020
Birmingham Metropolitan College,85.59,2020
Bishop Auckland College,96.23,2020
Bishop Burton College,86.93,2020
Bishop Grosseteste University,87.98,2020
Blackburn College,86.33,2020
Blackpool and the Fylde College,90.41,2020
Bloomsbury Institute Limited,89.02,2020
The University of Bolton,90.91,2020
Boston College,88.64,2020
"Bournemouth and Poole College, The",91.46,2020
Bournemouth University,86.81,2020
The University of Bradford,82.21,2020
Bradford College,86.87,2020
Bridgend College,87.7,2020
Bridgwater and Taunton College,90.43,2020
University of Brighton,88.73,2020
Brighton Film School Ltd,94.44,2020
University of Bristol,91.21,2020
Brockenhurst College,94.44,2020
Brooklands College,82.61,2020
Brunel University London,82.87,2020
The University of Buckingham,90.96,2020
Buckinghamshire New University,90.4,2020
Burnley College,93.98,2020
Burton and South Derbyshire College,79.17,2020
Bury College,72.92,2020
Coleg Cambria,100.0,2020
Cambridge Arts & Sciences Limited,90.48,2020
Cambridge Regional College,89.47,2020
Canterbury Christ Church University,90.2,2020
Capel Manor College,92.86,2020
Cardiff and Vale College,89.25,2020
Cardiff Metropolitan University,89.34,2020
Cardiff University,89.4,2020
University of Central Lancashire,87.61,2020
University Centre Peterborough,87.23,2020
Cheshire College South and West,95.0,2020
University of Chester,90.68,2020
Chesterfield College,82.93,2020
The University of Chichester,92.61,2020
Chichester College Group,92.59,2020
The Chicken Shed Theatre Trust,95.45,2020
City and Guilds of London Art School Limited,91.67,2020
City College Norwich,79.84,2020
City College Plymouth,84.67,2020
City of Bristol College,91.67,2020
The City of Liverpool College,93.22,2020
City of Sunderland College,88.59,2020
City of Wolverhampton College,97.83,2020
"City, University of London",85.83,2020
Colchester Institute,91.54,2020
The Conservatoire for Dance and Drama,95.54,2020
Cornwall College,89.91,2020
Court Theatre Training Company Ltd,85.71,2020
Courtauld Institute of Art,87.5,2020
Coventry College,69.23,2020
Coventry University,91.07,2020
Craven College,85.29,2020
University for the Creative Arts,87.96,2020
Croydon College,77.46,2020
The University of Cumbria,83.92,2020
CWR,100.0,2020
Darlington College,93.33,2020
David Game College Ltd,89.17,2020
DCG,87.5,2020
De Montfort University,88.16,2020
Deep Blue Sound Limited,97.5,2020
University of Derby,89.77,2020
DN Colleges Group,90.18,2020
Doreen Bird College of Performing Arts Ltd.,91.57,2020
Dudley College of Technology,100.0,2020
University of Dundee,92.7,2020
University of Durham,88.26,2020
The University of East Anglia,89.9,2020
East Coast College,90.0,2020
East Durham College,96.43,2020
University of East London,85.96,2020
East Sussex College Group,85.92,2020
Edge Hill University,88.55,2020
University of Edinburgh,86.52,2020
Edinburgh Napier University,85.58,2020
The Education Training Collective,100.0,2020
EKC Group,92.0,2020
Elim Foursquare Gospel Alliance,94.74,2020
Empire College London Limited,95.24,2020
The University of Essex,90.18,2020
University College of Estate Management,71.68,2020
University of Exeter,91.12,2020
Exeter College,91.58,2020
Fairfield School of Business Ltd,86.14,2020
Falmouth University,90.04,2020
Farnborough College of Technology,91.95,2020
Fashion Retail Academy,53.33,2020
ForMission Ltd,93.75,2020
Futureworks Training Limited,95.7,2020
Gateshead College,86.24,2020
University of Glasgow,91.2,2020
Glasgow Caledonian University,88.43,2020
Glasgow School of Art,81.07,2020
University of Gloucestershire,89.07,2020
Goldsmiths' College,87.07,2020
Gower College Swansea,92.0,2020
Grantham College,87.1,2020
Greater Brighton Metropolitan College,82.89,2020
University of Greenwich,87.21,2020
The Growth Company Limited,92.86,2020
Grwp Llandrillo Menai,90.77,2020
Guildhall School of Music & Drama,92.16,2020
Coleg Gwent,88.0,2020
Hadlow College,85.19,2020
Halesowen College,84.09,2020
Hammond School Limited (The),85.71,2020
Harper Adams University,93.3,2020
Hartpury University,91.42,2020
Havant and South Downs College,94.59,2020
HCUC,94.34,2020
Heart of Worcestershire College,80.81,2020
Hereford College of Arts,90.91,2020
"Herefordshire, Ludlow, and North Shropshire College",90.28,2020
Heriot-Watt University,89.47,2020
Hertford Regional College,87.69,2020
University of Hertfordshire,88.19,2020
University of the Highlands and Islands,89.1,2020
Hopwood Hall College,84.21,2020
The University of Huddersfield,88.15,2020
Hugh Baird College,86.73,2020
The University of Hull,89.5,2020
Hull College,92.2,2020
ICMP Management Limited,82.91,2020
ICON College of Technology and Management Ltd,90.04,2020
"Imperial College of Science, Technology and Medicine",85.96,2020
"Institute for Children, Youth and Mission",95.0,2020
The College of Integrated Chinese Medicine,96.67,2020
Inter-ED UK Limited,93.02,2020
Istituto Marangoni Limited,78.51,2020
Italia Conti Academy of Theatre Arts Limited(The),91.3,2020
Kaplan Open Learning (Essex) Limited,92.17,2020
University of Keele,92.33,2020
Kensington Education Foundation Limited,94.83,2020
The University of Kent,89.71,2020
The Kingham Hill Trust,100.0,2020
King's College London,88.2,2020
Kingston Maurward College,91.67,2020
Kingston University,86.54,2020
Lamda Limited,90.48,2020
The University of Lancaster,90.02,2020
The University of Law Limited,94.92,2020
LCCM AU UK Limited,83.33,2020
The University of Leeds,90.56,2020
Leeds Arts University,88.17,2020
Leeds Beckett University,89.88,2020
Leeds College of Building,93.75,2020
Leeds Conservatoire,91.6,2020
Leeds Trinity University,84.35,2020
The University of Leicester,88.74,2020
Leicester College,85.58,2020
University of Lincoln,87.15,2020
Lincoln College,94.29,2020
The University of Liverpool,89.87,2020
Liverpool Hope University,89.43,2020
The Liverpool Institute for Performing Arts,89.25,2020
Liverpool John Moores University,87.84,2020
Liverpool Media Academy Limited,87.1,2020
University College London,84.7,2020
London Churchill College Ltd,95.18,2020
University of London Institute in Paris,94.74,2020
The London Institute of Banking & Finance,96.15,2020
London Metropolitan University,85.76,2020
The London School of Economics and Political Science,82.22,2020
London School of Management Education Limited,100.0,2020
London School of Science & Technology Limited,83.67,2020
London School of Theology,92.86,2020
London South Bank University,87.46,2020
London South East Colleges,93.98,2020
London Studio Centre Limited,96.88,2020
Loughborough College,95.31,2020
Loughborough University,91.62,2020
LTE Group,86.81,2020
Luminate Education Group,92.52,2020
The University of Manchester,88.09,2020
Manchester Metropolitan University,89.75,2020
The Markfield Institute of Higher Education,100.0,2020
Matrix College of Counselling and Psychotherapy Ltd,100.0,2020
Met Film School Limited,83.67,2020
The Metanoia Institute,100.0,2020
Middlesbrough College,91.3,2020
Middlesex University,82.16,2020
Mont Rose College of Management and Sciences Limited,92.55,2020
Moorlands College,94.23,2020
Morley College Limited,94.74,2020
Moulton College,60.78,2020
Mountview Academy of Theatre Arts Limited,86.67,2020
Myerscough College,96.17,2020
Nazarene Theological College,95.0,2020
NCG,89.27,2020
NCH at Northeastern Limited,97.83,2020
Grwp Colegau NPTC Group of Colleges,90.63,2020
Nelson and Colne College,97.44,2020
Nelson College London Limited,99.2,2020
New City College,81.16,2020
New College Durham,95.48,2020
New College Swindon,90.43,2020
Newcastle and Stafford Colleges Group,91.0,2020
University of Newcastle upon Tyne,90.0,2020
Newham Training and Education Centre,100.0,2020
Newman University,92.06,2020
Norland College Limited,93.67,2020
North East Surrey College of Technology (NESCOT),83.54,2020
North Hertfordshire College,68.75,2020
North Warwickshire and South Leicestershire College,90.24,2020
North West Regional College,90.77,2020
"University of Northampton, The",86.31,2020
Northern College of Acupuncture,100.0,2020
Northern Regional College,82.47,2020
The Northern School of Art,94.59,2020
University of Northumbria at Newcastle,87.67,2020
Norwich University of the Arts,87.34,2020
Nottingham College,86.23,2020
Nottingham Trent University,91.12,2020
"University of Nottingham, The",89.22,2020
Nova Centric Limited,96.58,2020
Oaklands College,88.73,2020
The Oldham College,92.91,2020
School of Oriental and African Studies,84.92,2020
Osteopathic Education and Research Limited,91.89,2020
University College of Osteopathy (The),87.67,2020
Oxford Brookes University,86.44,2020
Pearson College Limited,79.82,2020
Pembrokeshire College,87.5,2020
Peter Symonds College,84.21,2020
Petroc,86.86,2020
Platform One (IOW) Limited,100.0,2020
Plumpton College,86.67,2020
University of Plymouth,91.26,2020
Plymouth College of Art,82.05,2020
Point Blank Limited,94.23,2020
University of Portsmouth,89.97,2020
QAHE (UR) Limited,84.91,2020
"Queen Margaret University, Edinburgh",89.87,2020
Queen Mary University of London,85.39,2020
Queen's University of Belfast,89.66,2020
Ravensbourne University London,75.39,2020
The University of Reading,89.17,2020
Reaseheath College,93.15,2020
Regent's University London Limited,84.3,2020
Richmond upon Thames College,91.67,2020
"Richmond, the American International University in London, Inc.",88.75,2020
Riverside College,93.85,2020
Robert Gordon University,91.58,2020
Roehampton University,88.06,2020
Rose Bruford College of Theatre and Performance,93.38,2020
Royal Academy of Dance,92.86,2020
Royal Academy of Dramatic Art,90.24,2020
The Royal Academy of Music,88.0,2020
The Royal Agricultural University,95.7,2020
Royal College of Music,90.67,2020
Royal Conservatoire of Scotland,84.18,2020
Royal Holloway and Bedford New College,90.42,2020
Royal Northern College of Music,88.41,2020
Royal School of Needlework(The),66.67,2020
The Royal Veterinary College,94.53,2020
Royal Welsh College of Music and Drama,76.23,2020
RTC Education Ltd,86.94,2020
Runshaw College,97.44,2020
SAE Education Limited,89.81,2020
"University of Salford, The",84.35,2020
Salford City College,85.42,2020
The Salvation Army,100.0,2020
Selby College,95.12,2020
The University of Sheffield,91.7,2020
"Sheffield College, The",85.34,2020
Sheffield Hallam University,91.77,2020
The Sherwood Psychotherapy Training Institute Limited,95.24,2020
Shockout Arts Ltd,92.59,2020
Shrewsbury Colleges Group,94.74,2020
The SMB Group,75.0,2020
"Solent University, Southampton",89.39,2020
Solihull College and University Centre,89.47,2020
Somerset County Council,100.0,2020
South & City College Birmingham,86.18,2020
South Devon College,95.37,2020
South Eastern Regional College,92.14,2020
South Essex College of Further and Higher Education,88.27,2020
South Gloucestershire and Stroud College,86.67,2020
South Staffordshire College,86.67,2020
South Thames Colleges Group,83.55,2020
University of South Wales,89.52,2020
South West College,90.37,2020
University of Southampton,88.77,2020
Southern Regional College,93.46,2020
Southport College,77.42,2020
Sparsholt College,92.68,2020
Spirit SSR Limited,88.89,2020
Spurgeon's College,100.0,2020
SRUC,85.34,2020
University of St Andrews,96.7,2020
St Helens College,89.61,2020
University of St Mark & St John,91.86,2020
"St Mary's University, Twickenham",89.36,2020
St Mellitus College Trust,96.23,2020
St. George's Hospital Medical School,81.95,2020
Staffordshire University,89.33,2020
University of Stirling,90.54,2020
Stoke on Trent College,88.0,2020
Stranmillis University College,87.59,2020
University of Strathclyde,89.86,2020
Strode College,90.63,2020
University of Suffolk,87.62,2020
Suffolk New College,80.0,2020
University of Sunderland,87.52,2020
The University of Surrey,88.29,2020
University of Sussex,89.89,2020
Swansea University,91.59,2020
TEC Partnership,90.71,2020
Teesside University,90.58,2020
Telford College,92.31,2020
The Trafford College Group,83.54,2020
Trinity College (Bristol) Limited,96.77,2020
Trinity Laban Conservatoire of Music and Dance,88.11,2020
Truro and Penwith College,91.15,2020
Tyne Coast College,87.42,2020
UCFB College of Football Business Limited,72.47,2020
UCK Limited,95.31,2020
UK College of Business and Computing Ltd,94.01,2020
University of Ulster,87.8,2020
Unified Seevic Palmer's College,100.0,2020
United Colleges Group,90.0,2020
Urdang Schools Limited,98.39,2020
Wakefield College,89.25,2020
University of Wales Trinity Saint David,89.45,2020
The University of Warwick,88.73,2020
Warwickshire College,82.31,2020
West Herts College,93.07,2020
West Kent and Ashford College,92.86,2020
The University of West London,91.89,2020
West Nottinghamshire College,86.79,2020
"University of the West of England, Bristol",93.56,2020
University of the West of Scotland,88.86,2020
West Suffolk College,83.75,2020
Westcountry Schools Trust,92.86,2020
The University of Westminster,83.21,2020
Weston College of Further and Higher Education,94.95,2020
Weymouth College,100.0,2020
Whitefield Schools,93.33,2020
Wigan and Leigh College,85.87,2020
Wiltshire College and University Centre,94.12,2020
University of Winchester,90.36,2020
The Windsor Forest Colleges Group,85.0,2020
Wirral Metropolitan College,95.35,2020
The WKCIC Group,86.96,2020
University of Wolverhampton,88.8,2020
University of Worcester,93.28,2020
Wrexham Glyndwr University,86.75,2020
Writtle University College,91.56,2020
Coleg y Cymoedd,88.31,2020
Yeovil College,81.4,2020
University of York,92.41,2020
York College,92.19,2020
York St John University,92.86,2020
Hull and York Medical School,83.67,2020
Brighton and Sussex Medical School,96.43,2020
